Source,Type,Item,Location,Category,Subcategory,Subcategory2,Dimension,Dimension 2,Check Blanks
LACOE,Actions,Assessment Provide professional development to identify common formative Assessment  practices,"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Assessment Identify times for staﬀ to engage in data analysis protocols,"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,"Assessment- English Learners Identify local English Language proﬁciency assessments to determine placement for English Learners, OR","Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Assessment- English Learners Administer the optional Summative ELPAC in the fall (pending legislative action),"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Assessment- English Learners Administer ELPAC Initial Assessment to newly enrolled ELs who have not taken ELPAC/CELDT previously,"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Assessment- English Learners Designate a LEA ELPAC coordinator,"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Assessment- English Learners Provide professional development--ELPAC Initial Assessment test administrators (Moodle),"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,"Instructional Technology         Determine appropriate instructional technology for use with students, including but not limited to:
○        MicrosoW Immersive Reader
○        Overdrive
○        Audible
○        Beeline Reader
○        Text to speech soWware
○        Textbook publisher’s audio format
○        Bookshare
○        CAST Bookbuilder
○        Learning Ally
○        Rewordify
○        Learning Management System (Google Classroom, Powerschool, Schoology)
","Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Instructional Technology  Provide professional development to enable staﬀ to utilize instructional technology eﬃciently and appropriately,"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Instructional Technology Determine appropriate platform delivery,"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,"Key Systems and Services Utilize a Multi-tiered System of Support (MTSS) to focus on the alignment of initiatives and resources within LEAs and schools to systematically and equitably address the needs of ALL students by aligning academic, behavioral, and social- emotional learning within a fully integrated system of support that includes family engagement.","Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,"Key Systems and Services Use a continuous improvement model for improvement (Plan, Do, Study, Act).","Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Key Systems and Services Identify and designate funding for expanded professional development,"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Key Systems and Services Reframe existing MTSS training to engaging remote learning models for school and district teams,"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,"Key Systems and Services Designate time for LEA and school teams to work together to reorganize their MTSS for a remote learning model (e.g., Universal Screening, Formative Assessments, Interventions, Student Engagement, etc.)","Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Key Systems and Services Provide training in continuous improvement models in a distance learning model,"Instruction—Assessment , Instructional Technology, Key Systems",Instructional Programs,Assessment,,,,0
LACOE,Actions,Instructional Delivery to Students with Moderate to Severe Disabilities  Utilize evidence-based practices,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Instructional Delivery to Students with Moderate to Severe Disabilities  Train teachers and paraeducators on use of virtual/classroom instructional tools,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Instructional Delivery to Students with Moderate to Severe Disabilities  Utilize curriculum aligned to common core standards,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Instructional Delivery to Students with Moderate to Severe Disabilities  Develop curriculum based on individual student need (i.e., goals drive placement)",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Instructional Delivery to Students with Moderate to Severe Disabilities  Diﬀerentiated instruction,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Instructional Delivery to Students with Moderate to Severe Disabilities  Utilize UDL,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Instructional Delivery to Students with Moderate to Severe Disabilities  Identify and utilize, as appropriate, free video recording programs and captioning",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Instructional Delivery to Students with Moderate to Severe Disabilities  Primary language support as needed,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Instructional Delivery to Students with Moderate to Severe Disabilities 	Utilize technology, such as:
○	MicrosoT Immersive Reader
○	Overdrive
○	Audible
○	Beeline Reader
○	Text to speech soTware
○	Textbook publisher’s audio format
○	Bookshare
○	CAST Bookbuilder
○	Learning Ally
○	Rewordify",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Instructional Delivery to Students with Moderate to Severe Disabilities Support for moderate/severe teachers doing both delivery models,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Instructional Delivery to Students with Moderate to Severe Disabilities Assure resources for primary language support,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Instructional Delivery to Students with Moderate to Severe Disabilities Support when students with sensory needs or other needs refuse to comply with public health measures (mask- refusal, unable to socially distance)",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Instructional Delivery to Students with Moderate to Severe Disabilities Support for staﬀ in managing students who are a danger to themselves or others (i.e., eloping, self-injury)",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Instructional Delivery to Students with Moderate to Severe Disabilities Protocol needed in consideration of health measures,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Instructional Delivery to Students with Moderate to Severe Disabilities Medically fragile students may not be able to return to school,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Instructional Delivery to Students with Moderate to Severe Disabilities
 Some students may need diapering, medical/health procedures
○        Gowns
○        Gloves
○        Goggles
",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Home Instruction Identify available instructors (Home hospital instructors have the correct credentials),Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Home Instruction Utilize PPE when going into homes,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Home Instruction Schedule home instruction during the regular school day and not aTer school when students with health needs are tired and require rest,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Home Instruction Primary language support as needed,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Home Instruction Identify if additional staﬀ is needed to cover any increase in SPED students,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Home Instruction Determine if an OI credentialed teacher could assist with home instruction,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Assessment Timelines for Triennial and initial IEPs upon return (30 days) Assure monitoring and oversight of clearly communicated protocols to all staﬀ involved in scheduling,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Assessment Timelines for Triennial and initial IEPs upon return (30 days) Schedule IEPs on time, unless directed otherwise by CDE or Federal government",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Assessment Timelines for Triennial and initial IEPs upon return (30 days) Conduct assessments and IEP meetings for initials and triennials within 30 days of the return to school,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Assessment Timelines for Triennial and initial IEPs upon return (30 days) Schedule additional staﬀ to complete assessments,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Assessment Timelines for Triennial and initial IEPs upon return (30 days) Allocate additional substitutes to be placed in SPED classrooms while teachers complete assessments and IEP meetings,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Assessment Timelines for Triennial and initial IEPs upon return (30 days) Follow/establish policies and procedures for initials and assessments,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Increase IEP Meetings Hire additional/temporary staﬀ to assist with assessments and IEP administration designee,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Increase IEP Meetings Adjust IEP goals to consider home instruction if a student does not return to the brick and mortar,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Increase IEP Meetings Identify if additional translators and interpreters are needed to meet the needs of parents whose primary language is other than English when there will be more IEPs than usual,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Increase IEP Meetings IEPs may need amendments to reﬂect a diﬀerent educational model,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Students with Visual Impairments Arrange for students to return to school sites where the layout may have changed due to social distancing regulations,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Students with Visual Impairments Create a map of the campus and make it available before the student returns to school,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Students with Visual Impairments Create a map of the classroom and make it available before the student returns to school,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Students with Visual Impairments Arrange for consistency of the campus/ classroom setting,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Students with Visual Impairments Work with District Orientation and Mobility Specialist,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Deaf and Hard of Hearing Students Consider the needs of students who must be able to see the lips of the speaker Purchase clear masks or shield for staﬀ and students,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Deaf and Hard of Hearing Students Account for an interpreter in the classroom for DHH students and determine the logistics of social distancing,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Deaf and Hard of Hearing Students Determine additional staﬃng to address social distancing of students for services and mainstreaming when a student has an ASL translator in the classroom,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Transportation Maintain cleanliness in buses,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Transportation Account for bus aides who are required on the bus and the 6-T social distancing requirement,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Transportation Cleanliness and care of safety harness/vest,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Transportation Develop protocols for bus drivers to screen students if prior to getting on the bus,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Transportation Train bus drivers in areas of hygiene and safety for students/staﬀ (bus aides),Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Transportation Train third party transportation drivers in areas of hygiene and safety for students/ staﬀ (bus aides),Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Restrooms Monitor restrooms to ensure social distancing,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Restrooms Determine clearance of staﬀ to be in restroom area during student use and maintain 6-T distancing,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Restrooms One-on-one paraprofessionals needing PPE wear (gowns, masks, gloves)",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"ADA Requirements if SPED Classrooms Are Moved  Consider accessibility for all students, including:
○        Doors
○        Ramps
○        Elevator for second ﬂoor placements for students with mobility issues
○        Safety rails
",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,ADA Requirements if SPED Classrooms Are Moved Provide emergency training for staﬀ and students,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,School Nurses Determine adequate nursing staﬀ to address health and safety of all students on campus,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,School Nurses Schedule the nurse to attend all initial and tri IEPs and assess students within the ﬁrst 30 days of return to school,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,School Nurses Acquire PPE,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,School Nurses Provide training for frontline oﬃce staﬀ in the absence of a nurse,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,School Nurses Acquire adequate supplies for cleaning and hygiene,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions," Arrange the classroom environment so students remain within sight lines of the teacher during instruction (i.e., nothing barricading or blocking view of student, like a screen)",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Ensure the environment allows for students to navigate the classroom freely for wheelchair users, visually impaired students and others who require assistance to participate fully in instruction",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Train all staﬀ including teacher and paraeducators, janitors, oﬃce staﬀ and campus supervision staﬀ (noon aides, cafeteria workers) for transitioning back to a classroom with social distancing",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Mental Health Support Provide a calming/quiet area of the classroom to teach appropriate social/ emotional skills,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Related Service Providers Review Speech Language Pathologists caseloads. It is recommended for SLPs to have a caseload of 55 students or 40 in preschool,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Related Service Providers Arrange for providers to provide services to students at the school site and students who stay home,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Related Service Providers Conduct any assessments and initial referrals,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Related Service Providers Determine and conduct any private school assessments,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Related Service Providers Assess staﬃng needs to meet demands,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Legal Ramifications Consider the need for an on-site attorney to assist with compensatory education ramiﬁcations,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Cleaning Arrange for cleaning of equipment and devices, including roller boards, slant boards, button devices, wheel chairs, standers, markers, mini white boards, trays, riTon chairs, sensory items, seat back storage bag, iPads, AAC devices and harness for AAC devices",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,STRTP Conduct any needed assessments,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,STRTP Schedule and hold IEP meetings,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,STRTP Arrange for district-site check-ins,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,STRTP Arrange for consultation Minutes for privately placed students,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,STRTP Coordinate parent tours of STRTP’s,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Preschool Inclusion Consider ratios and social distancing guidance, social skills required to typically developing peers, health and safety precautions when providing meals and snacks to preschoolers, social distancing in centers, and circle time, and the impact of social distancing on goals that call for growth in social skills",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Inclusive Classrooms  Inclusive practices - Consultation, Monitoring, Push-in, Pull-out",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Social Emotional - Behavior Follow MTSS Framework,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Social Emotional - Behavior Teach SEL Curriculum,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Social Emotional - Behavior Ensure for peer modeling,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,"Social Emotional - Behavior Plan for sanitization of: sensory area, small group, and rotating table",Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Social Emotional - Behavior Utilize District BCBA,Instruction- Special Education,Instructional Programs,Special Ed,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Provide and ensure appropriate EL student program placement including access to multilingual programs as established in LEA language program policy procedures,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Ensure and monitor all students are enrolled in compliance with California AB 699 Guidelines,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Ensure that Home Language Survey (HLS) and is administered to all newly enrolled students,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Ensure that students whose HLS indicated a language other than English are assessed on Initial ELPAC within 30 days of enrollment,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Ensure placement of EL students in content classes that provide diﬀerentiated language supports which are based on students’ EL proﬁciency levels and provide primary language support as needed,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Verify all other programs or which newly identiﬁed EL students may be eligible,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Ensure EL program placement is based on multiple student data points which speciﬁcally includes local assessments and primary language assessments as needed along with latest ELPAC results and grade level,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Face to Face Ensure that all teachers of EL students are provided an updated list of their EL students for each class including their EL proﬁciency level, primary language level as needed",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Identify and coordinate EL program curriculum materials and local ELD monitoring assessments so that they are accessible to all teachers,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Identify and coordinate dual language and/or bilingual program curriculum materials and assure they are accessible to all teachers,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Provide professional learning support on LEA EL program curriculum materials and LEA EL Master Plan for all new teachers of EL students,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Face to Face	Provide and ensure daily Comprehensive English Language Development (ELD) including:
○	Integrated ELD
○	Designated ELD
○	ELD Instruction provided by EL authorized teacher
○	Primary language support and multilingual instruction provided by Bilingual authorized teacher",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Face to Face        Ensure and monitor eﬀective Comprehensive ELD instruction which should include, but is not limited to:
○        Connection of text/literary experiences to students’ background knowledge, everyday life and cultural background including consideration and contribution of student experiences in primary language
○        Formative assessments/checking for student understanding including but not limited to equity strategies (picking non-volunteers), unison responses, think/write/pair/share and written or oral responses
○        Guided Practice using academic language in both group and individual sessions supported by appropriate wait time and/or diﬀerentiated sentence frames to support academic discourse
○        Primary language opportunities to access grade-level content, appropriate to students’ English proﬁciency level and based on program design via bilingual teachers, bilingual paraprofessionals, same primary language peers, technology and/or primary 
language materials",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Face to Face	Use of the California ELD Standards to help design structured student language interaction which include, but is not limited to:
○	Opportunities for students to interact with peers to read, write and talk about content texts and/or engage in purposeful lesson interactions orally and in writing; oﬀer and support opinions; and adapt language choices to various contexts. Strategies include think/write/pair/share, cooperative learning, problem solving, group investigations, peer revisions and group presentations (ELD Standards Part I: Collaborative)
○	Opportunities for students to apply strategies such as active listening, close reading, asking clarifying questions, analyzing and applying language to support ideas. Instruction includes modeling, enabling students to listen actively, read closely, ask clarifying questions and evaluate and analyze how writers and speakers use language for speciﬁc purposes in a range of social and academic contexts related to grade-level content. Instruction consistently includes language scaﬀolding, use of visuals, wait time and other strategies appropriate to students’ English proﬁciency.
These contexts include a variety of grade- level content text types, purposes, audiences and topics (ELD Standards Part I: Interpretative)
○	Facilitation of students’ use of academic language to convey ideas orally and in writing appropriate to their purpose and audience. Language scaﬀolding strategies, including but not limited to sentence frames, structured academic conversations and graphic organizers are consistently used. Students consistently use academic language to present, describe, explain and support ideas in both oral and written discourse appropriate to their English proﬁciency (ELD Standards Part I: Productive)
○	Appropriate Corrective Feedback regarding language usage, at the EL student’s proﬁciency level, is consistently provided which may include, but is not limited to rubrics, performance guidelines and student conferences",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Face to Face Ensure and monitor protected time for designated ELD in a daily, designated ELD period/class/ protected time using a curriculum aligned to the CA ELD Standards according to district guidelines specifying placement criteria and instructional minutes",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Provide social emotional supports as needed for EL students experiencing trauma in a language they can understand,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Establish a protocol for accessing language services as needed including indigenous languages or other languages new to the LEA community,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Include a section of LEA EL Master Plan to address EL/Immigrant/Newcomer Supports family supports (MTSS),Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Face to Face	Ensure and coordinate all language program notiﬁcation for all parents and EL parents speciﬁcally including:
○	Notiﬁcation to all parents of language programs oﬀered by the LEA and parent right to request language programs
○	Notiﬁcation of Initial ELPAC administration before test administration
○	Notiﬁcation of Results on Initial ELPAC and parent choice for LEA language programs oﬀered for EL students
○	Annual Title I /Title III EL Parent notiﬁcation
○	Annual notiﬁcation of LTEL and At-Promise of LTEL status of EL student
○	Notiﬁcation of Summative ELPAC results",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Ensure and monitor that all LEA notiﬁcations are accessible in parent home language,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Ensure and monitor that all LEA written notiﬁcations for student home language groups exceeding 15% of LEA enrollment are translated,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Ensure that all enrollment practices including the HLS are provided following Department of Health guidelines,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Include LEA emergency plan EL program implications in LEA EL Master Plan procedures,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Face to Face Verify and coordinate LEA protocol for accessing language support or translation services, including LEA HR procedures, to ensure that language support is provided for all students in a language they can understand",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Verify and coordinate how professional learning will be provided for current and new teachers of EL students in keeping with Department of Health guidelines,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Coordinate and monitor any changes in currently approved LEA Plan addendum use of Title III federal funds to address any emerging supplemental EL student needs which can be allowably supported by federal funds,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Ensure that all EL instructional services and language support are provided following Department of Health guidelines,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Face to Face Provide and ensure that all staﬀ are informed and trained on how to access and coordinate LEA SEL support services for EL students in accordance with Department of Health guidelines,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceAssure hybrid instructional model includes best practices for traditional and distance learning instruction for EL students,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceProvide and deliver transitional time for structured targeted orientation to familiarize EL students and families to hybrid scheduling, new technology and platform tools",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceAssure all home communication on transition to hybrid instructional delivery is provided in a language parents can understand,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceEstablish LEA EL program goals and procedures for how instruction will be synchronized between traditional school setting and distance learning,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceEstablish expectations for EL program instructional delivery, how EL student work will be assessed along with any adjustments in LEA grading policies for hybrid learning instruction",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceUtilize strategies such as ﬂipped learning to deliver direct instruction and when students are together to provide engaging high-quality review of learning and preview of what is to come,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceEstablish balanced hybrid learning student rotational procedures that ensure EL students are not unnecessarily segregated from non-EL students,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceGroup EL students ﬂexibly by areas of need which may include EL proﬁciency levels, but can include social engagement grouping so that EL students have a chance to use language in a hybrid instruction rotational setting.",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceEstablish balanced hybrid learning student rotational procedures that ensure EL students are given opportunities to strengthen their Listening and Speaking skills and engage in academic discourse,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceEstablish balanced hybrid learning student rotational procedures that ensure students participating in dual language or bilingual programs are given opportunities to engage in academic discourse in target language,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceEnsure that LEA EL Master Plan includes section on how EL services will be provided in hybrid learning setting,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Hybrid learning: distance learning and face-to-faceEnsure that EL teachers are provided with training and support for use of technology used in hybrid learning setting,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Distance learning (complete online instruction/homeschool) Provide and deliver transitional time for structured targeted orientation to familiarize EL students and families to distance learning scheduling, new technology and platform tools",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Distance learning (complete online instruction/homeschool) Assure that all home communication on transition to distance learning instructional delivery is provided in a language parents can understand,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,"Instructional Delivery Model: Distance learning (complete online instruction/homeschool) Establish expectations for EL program instructional delivery, how EL student work will be assessed along with any adjustments in LEA grading policies for distance learning instruction",Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Distance learning (complete online instruction/homeschool) Schedule transitional time for structured orientation to familiarize students and families to new platform tools and expectations in including how work will be assessed and how grades will be assigned,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Distance learning (complete online instruction/homeschool) Schedule online tool practice sessions in small groups to ensure a smooth transition to distance learning,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Distance learning (complete online instruction/homeschool) Consider LEA coordination of parental support for translation services and check in with parents with a home language other than English to assure parents understand distance learning setting including digital access and where to access basic needs,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Distance learning (complete online instruction/homeschool) Determine LEA plan for addressing instructional needs of students with limited access to digital resources including system for provision of traditional instructional materials and books,Instruction-English Learners,Instructional Programs,English Learners,,,,0
LACOE,Actions,Instructional Delivery Model: Distance learning (complete online instruction/homeschool) Ensure that all digital communication is in home language of parents including instructions on how to support their child at home,Instruction-English Learners,Instructional Programs,English Learners,,,,0
